Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,95900,19.37,19.22,19.37,19.22,1353152,26191832,725,0
SZ300276,20150429,100000,19.37,19.37,19.37,19.37,336010,6508514,196,0
SZ300276,20150429,100100,19.37,19.37,19.37,19.37,242601,4699181,103,0
SZ300276,20150429,100200,19.37,19.37,19.37,19.37,102176,1979149,72,0
SZ300276,20150429,100300,19.37,19.37,19.37,19.37,101600,1967992,59,0
SZ300276,20150429,100400,19.37,19.37,19.37,19.37,66700,1291979,33,0
SZ300276,20150429,100500,19.37,19.37,19.37,19.37,103400,2002858,41,0
SZ300276,20150429,100600,19.37,19.37,19.37,19.37,51800,1003366,24,0
SZ300276,20150429,100700,19.37,19.37,19.37,19.37,55000,1065350,26,0
SZ300276,20150429,100800,19.37,19.37,19.37,19.37,60800,1177696,31,0
SZ300276,20150429,100900,19.37,19.37,19.37,19.37,17100,331227,20,0
SZ300276,20150429,101000,19.37,19.37,19.37,19.37,51700,1001429,25,0
SZ300276,20150429,101100,19.37,19.37,19.37,19.37,102900,1993173,54,0
SZ300276,20150429,101200,19.37,19.37,19.37,19.37,47100,912327,36,0
SZ300276,20150429,101300,19.37,19.37,19.37,19.37,273742,5302383,57,0
SZ300276,20150429,101400,19.37,19.37,19.37,19.37,204450,3960196,65,0
SZ300276,20150429,101500,19.37,19.37,19.37,19.37,70600,1367522,45,0
SZ300276,20150429,101600,19.37,19.37,19.37,19.37,29600,573352,21,0
SZ300276,20150429,101700,19.37,19.37,19.37,19.37,44500,861965,18,0
SZ300276,20150429,101800,19.37,19.37,19.37,19.37,23100,447447,15,0
SZ300276,20150429,101900,19.37,19.37,19.37,19.37,80900,1567033,23,0
SZ300276,20150429,102000,19.37,19.37,19.37,19.37,28300,548171,20,0
SZ300276,20150429,102100,19.37,19.37,19.37,19.37,15900,307983,11,0
SZ300276,20150429,102200,19.37,19.37,19.37,19.37,25000,484250,14,0
SZ300276,20150429,102300,19.37,19.37,19.37,19.37,32200,623714,9,0
SZ300276,20150429,102400,19.37,19.37,19.37,19.37,23200,449384,15,0
SZ300276,20150429,102500,19.37,19.37,19.37,19.37,13100,253747,16,0
SZ300276,20150429,102600,19.37,19.37,19.37,19.37,15200,294424,12,0
SZ300276,20150429,102700,19.37,19.37,19.37,19.37,30800,596596,13,0
SZ300276,20150429,102800,19.37,19.37,19.37,19.37,17600,340912,8,0
SZ300276,20150429,102900,19.37,19.37,19.37,19.37,6900,133653,4,0
SZ300276,20150429,103000,19.37,19.37,19.37,19.37,23602,457171,10,0
SZ300276,20150429,103100,19.37,19.37,19.37,19.37,2100,40677,3,0
SZ300276,20150429,103200,19.37,19.37,19.37,19.37,9800,189826,8,0
SZ300276,20150429,103300,19.37,19.37,19.37,19.37,11000,213070,4,0
SZ300276,20150429,103400,19.37,19.37,19.37,19.37,5000,96850,6,0
SZ300276,20150429,103500,19.37,19.37,19.37,19.37,9000,174330,8,0
SZ300276,20150429,103600,19.37,19.37,19.37,19.37,9400,182078,6,0
SZ300276,20150429,103700,19.37,19.37,19.37,19.37,28000,542360,22,0
SZ300276,20150429,103800,19.37,19.37,19.37,19.37,22900,443573,19,0
SZ300276,20150429,103900,19.37,19.37,19.37,19.37,70200,1359774,23,0
SZ300276,20150429,104000,19.37,19.37,19.37,19.37,48700,943319,25,0
SZ300276,20150429,104100,19.37,19.37,19.37,19.37,49300,954941,22,0
SZ300276,20150429,104200,19.37,19.37,19.37,19.37,20800,402896,12,0
SZ300276,20150429,104300,19.37,19.37,19.37,19.37,41900,811603,13,0
SZ300276,20150429,104400,19.37,19.37,19.37,19.37,5600,108472,6,0
SZ300276,20150429,104500,19.37,19.37,19.37,19.37,10000,193700,8,0
SZ300276,20150429,104600,19.37,19.37,19.37,19.37,4900,94913,6,0
