Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SH600018,20140905,95500,4.83,4.83,4.83,4.82,146230,705991,68,0
SH600018,20140905,95600,4.84,4.84,4.84,4.83,172718,835045,74,0
SH600018,20140905,95700,4.84,4.84,4.85,4.83,1101040,5328708,223,0
SH600018,20140905,95800,4.84,4.84,4.85,4.83,598300,2898919,140,0
SH600018,20140905,95900,4.85,4.85,4.85,4.84,236018,1143656,97,0
SH600018,20140905,100000,4.86,4.85,4.86,4.85,1095991,5319165,419,0
SH600018,20140905,100100,4.86,4.85,4.87,4.85,1146706,5577971,314,0
SH600018,20140905,100200,4.86,4.86,4.87,4.86,355300,1728553,134,0
SH600018,20140905,100300,4.86,4.86,4.87,4.86,492000,2393309,242,0
SH600018,20140905,100400,4.87,4.86,4.87,4.85,613845,2983793,207,0
SH600018,20140905,100500,4.86,4.86,4.87,4.86,400417,1947594,167,0
SH600018,20140905,100600,4.88,4.86,4.89,4.86,2868915,13982025,810,0
SH600018,20140905,100700,4.95,4.88,4.96,4.88,6174901,30340552,1475,0
SH600018,20140905,100800,5.03,4.96,5.07,4.95,5088542,25389441,1325,0
SH600018,20140905,100900,5.2,5.05,5.25,5.05,4759961,24517030,1320,0
SH600018,20140905,101000,5.19,5.22,5.23,5.19,6868300,35741646,1388,0
SH600018,20140905,101100,5.3,5.18,5.3,5.17,26098345,137492265,4805,0
SH600018,20140905,101200,5.3,5.3,5.3,5.3,8070273,42772447,1799,0
SH600018,20140905,101300,5.3,5.3,5.3,5.3,9235756,48949507,1331,0
SH600018,20140905,101400,5.3,5.3,5.3,5.3,10301801,54599545,1257,0
SH600018,20140905,101500,5.3,5.3,5.3,5.3,2367116,12545715,583,0
SH600018,20140905,101600,5.3,5.3,5.3,5.3,2167855,11489631,467,0
SH600018,20140905,101700,5.3,5.3,5.3,5.3,2597945,13769109,400,0
SH600018,20140905,101800,5.3,5.3,5.3,5.3,1633730,8658769,339,0
SH600018,20140905,101900,5.3,5.3,5.3,5.3,1137397,6028204,331,0
SH600018,20140905,102000,5.3,5.3,5.3,5.3,2113830,11203299,344,0
SH600018,20140905,102100,5.3,5.3,5.3,5.3,1909350,10119555,306,0
SH600018,20140905,102200,5.3,5.3,5.3,5.3,1735547,9198399,321,0
SH600018,20140905,102300,5.3,5.3,5.3,5.3,1485263,7871894,352,0
SH600018,20140905,102400,5.3,5.3,5.3,5.3,1471385,7798341,309,0
SH600018,20140905,102500,5.3,5.3,5.3,5.3,622323,3298311,191,0
SH600018,20140905,102600,5.3,5.3,5.3,5.3,1004632,5324550,217,0
SH600018,20140905,102700,5.3,5.3,5.3,5.3,758150,4018195,190,0
SH600018,20140905,102800,5.3,5.3,5.3,5.3,622231,3297824,160,0
